user,day,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,attack
THD0448,05/18/2010,0.05000019,-11.05,0.05000019,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,33821.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
THD0448,05/17/2010,0.099999905,-11.1,0.099999905,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,28269.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
THD0448,05/14/2010,0.0,-11.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,29423.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KLH0596,04/12/2010,-0.41666698,-10.583333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,29631.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KLH0596,04/09/2010,-0.5333338000000001,-10.466666,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,36631.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KLH0596,04/08/2010,-0.6999998000000001,-10.3,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,32198.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GZB0469,05/06/2010,-0.0666666,-10.933333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,22545.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GZB0469,05/05/2010,-0.0666666,-10.933333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,23908.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GZB0469,05/04/2010,0.1833333999999999,-11.183333,0.1833333999999999,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,25662.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AVM0947,03/15/2011,0.9000001,-11.9,0.9000001,0.0,1,0,1,0,1,0,0.0,0.0,9.0,0.0,1.0,27228.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0
AVM0947,03/14/2011,0.6999998000000001,-11.7,0.6999998000000001,0.0,1,0,1,0,1,0,0.0,0.0,9.0,0.0,1.0,26278.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
AVM0947,03/11/2011,0.7333331,-11.733334,0.7333331,0.0,1,0,1,0,1,0,0.0,0.0,9.0,0.0,1.0,24568.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
UCH0519,02/03/2011,-1.0333338,-9.966666,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,3.0,30745.33333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UCH0519,02/02/2011,-1.0,-10.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,2.0,3.0,26521.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UCH0519,02/01/2011,-1.0666666,-9.933333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,2.0,3.0,30109.33333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TAC0300,01/21/2010,-1.0333338,-9.966666,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,31073.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TAC0300,01/20/2010,-0.8999995999999999,-10.1,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,27755.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TAC0300,01/19/2010,-0.9833336,-10.016666,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,31242.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LQC0479,09/30/2010,-0.05000019,-10.95,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,11.0,15.0,27165.66666666667,31.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LQC0479,09/29/2010,-0.016666412,-10.983334,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,12.0,15.0,27082.93333333333,35.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LQC0479,09/28/2010,0.0,-11.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,11.0,15.0,29916.73333333333,25.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JRL0574,02/09/2011,-0.5,-10.5,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,23541.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JRL0574,02/08/2011,-0.5,-10.5,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,21321.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JRL0574,02/07/2011,-0.3166665999999999,-10.683333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,25826.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RAG0275,03/31/2010,0.8666668,-11.866667,0.8666668,0.0,1,0,1,0,1,0,0.0,0.0,0.0,2.0,9.0,26505.777777777777,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RAG0275,03/30/2010,0.7166667,-11.716667,0.7166667,0.0,1,0,1,0,1,0,0.0,0.0,0.0,2.0,9.0,28895.66666666667,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RAG0275,03/29/2010,0.8333335,-11.833334,0.8333335,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,9.0,25430.44444444444,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZSL0305,04/22/2010,-0.8000001999999999,-10.2,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,22321.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZSL0305,04/21/2010,-1.0,-10.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,18671.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZSL0305,04/20/2010,-1.0500002,-9.95,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,21763.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BDB0453,09/14/2010,0.01666689,-11.016666,0.01666689,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,22810.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BDB0453,09/13/2010,0.099999905,-11.1,0.099999905,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,23385.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BDB0453,09/10/2010,0.0,-11.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,24164.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HLH0512,11/05/2010,-0.9666662,-10.033334,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,2.0,3.0,28278.66666666667,16.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HLH0512,11/04/2010,-1.0333338,-9.966666,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,3.0,3.0,29757.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HLH0512,11/03/2010,-0.8500004000000001,-10.15,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,3.0,28634.66666666667,14.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JKM0303,07/30/2010,-1.1999998,-9.8,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,30247.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JKM0303,07/29/2010,-0.8666668,-10.133333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,34401.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JKM0303,07/28/2010,-1.1833334,-9.816667,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,28420.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CJV0286,08/13/2010,-1.4833336,-6.3877773,0.0,0.0,2,0,1,0,1,0,0.0,0.0,0.0,1.0,3.0,25345.66666666667,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CJV0286,08/12/2010,-1.1833334,-5.3061113,0.0,0.0,2,0,1,0,1,0,0.0,0.0,0.0,1.0,2.0,29886.5,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CJV0286,08/11/2010,-1.4333334,-5.253889,0.0,0.0,2,0,1,0,1,0,0.0,0.0,0.0,1.0,3.0,29402.33333333333,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HSP0290,09/27/2010,-1.1000004,-9.9,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,31152.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HSP0290,09/24/2010,-1.2166662,-9.783334,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,29735.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HSP0290,09/23/2010,-1.0166664,-9.983334,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,34019.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IHK0841,03/08/2010,-0.5166664000000001,-10.483334,0.0,0.0,1,0,1,1,1,1,0.43333244,0.0,0.0,0.0,1.0,19037.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IHK0841,03/05/2010,-0.6499996,-10.35,0.0,0.0,1,0,1,1,1,1,0.4833335999999999,0.0,0.0,0.0,1.0,25976.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IHK0841,03/04/2010,-0.5500001999999999,-10.45,0.0,0.0,1,0,1,1,1,1,0.3833332,0.0,0.0,1.0,1.0,21975.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZSL0305,03/22/2010,-0.9833336,-10.016666,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,27641.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZSL0305,03/19/2010,-0.8666668,-10.133333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,26675.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZSL0305,03/18/2010,-0.8666668,-10.133333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,31090.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FPC0954,09/03/2010,0.5999999,-11.6,0.5999999,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,24508.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FPC0954,09/02/2010,0.8499999,-11.85,0.8499999,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,24497.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FPC0954,09/01/2010,0.6833334,-11.683333,0.6833334,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,27127.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJC0840,02/22/2010,-0.3166665999999999,-10.683333,0.0,0.0,1,0,1,1,1,1,0.5166664000000001,0.0,0.0,0.0,1.0,21133.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJC0840,02/19/2010,-0.4833335999999999,-10.516666,0.0,0.0,1,0,1,1,1,1,0.6166668000000001,0.0,0.0,0.0,1.0,21419.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJC0840,02/18/2010,-0.6333331999999999,-10.366667,0.0,0.0,1,0,1,1,1,1,0.6166668000000001,0.0,0.0,0.0,1.0,22184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WGR0833,01/05/2011,-0.5166664000000001,-10.483334,0.0,0.0,1,0,1,1,1,1,0.4833335999999999,0.0,0.0,0.0,1.0,24475.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WGR0833,01/04/2011,-0.5333338000000001,-10.466666,0.0,0.0,1,0,1,1,1,1,0.5,0.0,0.0,1.0,1.0,23195.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WGR0833,01/03/2011,-0.5,-10.5,0.0,0.0,1,0,1,1,1,1,0.4833335999999999,0.0,0.0,1.0,1.0,26290.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FWM0707,03/22/2010,0.25,-11.25,0.25,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,23474.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FWM0707,03/19/2010,0.19999981,-11.2,0.19999981,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,28739.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FWM0707,03/18/2010,0.3166665999999999,-11.316667,0.3166665999999999,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,22395.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MNR0829,04/14/2011,-0.5,-10.5,0.0,0.0,1,0,1,1,1,1,0.5,0.0,0.0,0.0,1.0,37208.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MNR0829,04/13/2011,-0.33333302,-10.666667,0.0,0.0,1,0,1,1,1,1,0.43333244,0.0,0.0,0.0,1.0,36022.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MNR0829,04/12/2011,-0.5,-10.5,0.0,0.0,1,0,1,1,1,1,0.39999962,0.0,0.0,0.0,1.0,36841.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKF0709,07/20/2010,0.1500001,-11.15,0.1500001,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,33071.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKF0709,07/19/2010,0.1500001,-11.15,0.1500001,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,35948.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKF0709,07/16/2010,0.1833333999999999,-11.183333,0.1833333999999999,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,37879.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WGR0833,01/26/2011,-0.5,-10.5,0.0,0.0,1,0,1,1,1,1,0.4833335999999999,0.0,0.0,1.0,1.0,42133.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WGR0833,01/25/2011,-0.5,-10.5,0.0,0.0,1,0,1,1,1,1,0.58333397,0.0,0.0,1.0,1.0,41757.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WGR0833,01/24/2011,-0.5166664000000001,-10.483334,0.0,0.0,1,0,1,1,1,1,0.6000004,0.0,0.0,1.0,1.0,37718.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CCH0182,11/05/2010,0.7833333,-11.783333,0.7833333,0.0,1,0,1,0,1,0,0.0,0.0,0.0,2.0,3.0,26427.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CCH0182,11/04/2010,0.7166667,-11.716667,0.7166667,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,2.0,24790.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CCH0182,11/03/2010,0.7166667,-11.716667,0.7166667,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,3.0,28467.33333333333,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
QSV0778,02/01/2010,-0.5,-10.5,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,3.0,3.0,26761.66666666667,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
QSV0778,01/29/2010,-0.5500001999999999,-10.45,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,3.0,26178.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0
QSV0778,01/28/2010,-0.5166664000000001,-10.483334,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,2.0,3.0,32897.333333333336,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HKF0831,03/08/2010,-0.5,-10.5,0.0,0.0,1,0,1,1,1,1,0.5,0.0,0.0,1.0,1.0,23278.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HKF0831,03/05/2010,-0.5,-10.5,0.0,0.0,1,0,1,1,1,1,0.46666718,0.0,0.0,0.0,1.0,27682.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HKF0831,03/04/2010,-0.3833332,-10.616667,0.0,0.0,1,0,1,1,1,1,0.45000076,0.0,0.0,0.0,1.0,26519.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HSP0290,04/25/2011,-1.1333332,-9.866667,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,24554.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HSP0290,04/21/2011,-1.083333,-9.916667,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,23694.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HSP0290,04/20/2011,-0.833333,-10.166667,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,21515.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JJB0700,07/23/2010,0.1833333999999999,-11.183333,0.1833333999999999,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,39626.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JJB0700,07/22/2010,0.3000002,-11.3,0.3000002,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,33504.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JJB0700,07/21/2010,0.1833333999999999,-11.183333,0.1833333999999999,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,37419.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NRF0137,01/04/2011,-1.0,-10.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,48204.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NRF0137,01/03/2011,-1.0,-10.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,44897.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NRF0137,12/30/2010,-1.0,-10.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,47938.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SAC0687,01/07/2010,-1.0,-10.0,0.0,0.0,1,0,1,1,1,1,0.0,0.0,0.0,7.0,9.0,32622.0,18.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SAC0687,01/06/2010,-1.0,-10.0,0.0,0.0,1,0,1,1,1,1,0.016666412,0.0,0.0,6.0,9.0,31472.888888888887,14.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SAC0687,01/05/2010,-1.0,-10.0,0.0,0.0,1,0,1,1,1,1,0.0,0.0,0.0,6.0,8.0,30061.875,17.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ILR0304,05/12/2010,-0.8500004000000001,-10.15,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,26524.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ILR0304,05/11/2010,-0.8833332,-10.116667,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,28198.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ILR0304,05/10/2010,-1.0,-10.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,26719.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JKF0465,05/05/2011,0.116666794,-11.116667,0.116666794,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,34757.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
